place,county,region,urban_type,population,pop_density,tree_equity_score,tree_canopy_pct,heat_severity_F,health_burden,prop_poverty,prop_people_of_color,unemployment_rate,prop_children,prop_seniors
Falmouth,Stafford County,Northern Virginia,Suburban,1431,507.48,99.33,0.5428,-1.15,0.267,0.099,0.3676,0.0571,0.1892,0.1695
Farmville,"Cumberland County, Prince Edward County",Richmond Metro,Suburban,1375,735.85,97.62,0.5508,1.78,0.4142,0.4007,0.3967,0.0347,0.1284,0.1676
Fieldale,Henry County,Southside Virginia,Suburban,864,747.0,98.5,0.5444,1.14,0.8981,0.5262,0.3565,0.0,0.1865,0.2372
Fishersville,Augusta County,Shenandoah Valley,Suburban,1728,702.38,84.29,0.291,0.43,0.2619,0.2802,0.1596,0.0605,0.1681,0.1819
Floris,Fairfax County,Northern Virginia,Suburban,1518,1052.28,92.6,0.3934,5.2,0.1978,0.031,0.5038,0.0573,0.2374,0.1429
Forest,Bedford County,Lynchburg Region,Suburban,1720,400.94,96.57,0.4955,0.08,0.2549,0.1745,0.2088,0.0377,0.1964,0.1888
Fort Belvoir,Fairfax County,Northern Virginia,Suburban,1962,362.64,98.0,0.5798,-4.1,0.4145,0.292,0.4672,0.0983,0.4755,0.0015
Fort Hunt,Fairfax County,Northern Virginia,Suburban,1426,1111.43,99.55,0.5582,-3.87,0.3488,0.0335,0.1628,0.0181,0.2396,0.2121
Fort Lee,Prince George County,Richmond Metro,Exurban,1313,452.84,92.4,0.4484,0.13,0.1924,0.2737,0.6735,0.119,0.3523,0.0333
Franconia,Fairfax County,Northern Virginia,Urban Core,1474,2126.87,93.5,0.4408,5.27,0.3251,0.0882,0.5456,0.0183,0.1721,0.1188
Franklin,Franklin city,Southside Virginia,Suburban,1375,634.63,88.67,0.4147,0.42,0.5856,0.492,0.6432,0.0785,0.2628,0.1927
Franklin Farm,Fairfax County,Northern Virginia,Suburban,1702,1542.98,93.73,0.4052,3.17,0.2486,0.0373,0.374,0.0171,0.2643,0.1253
Fredericksburg,Fredericksburg city,Northern Virginia,Suburban,1401,1035.04,92.0,0.4109,6.66,0.4449,0.2732,0.3969,0.0428,0.1881,0.141
